"position_id","Word_Unique_ID","Text_ID","Word_Number","Word_Length","Word_POS","Word_In_Sentence_Number","OrthoMatchModel","POSMatchModel","LSA_Response_Match_Score","mean_log_ffd","n_fixations"
"1-2","QID1",1,2,3,"Verb",2,0.390221218,0.870389847,0.78225,5.16765087779779,60
"1-3","QID2",1,3,3,"Adverb",3,0.005514142,0.086807051,0.48025,5.17009578400187,60
"1-4","QID3",1,4,9,"Noun",4,0.005514142,0.06312702,0.106153846,5.21146522623162,75
"1-6","QID5",1,6,5,"Noun",6,0.005514142,0.256842685,0.1925,5.24661876835851,69
"1-7","QID6",1,7,5,"Verb",7,0.005625635,0.817398543,0.313,5.33443679264847,73
"1-8","QID7",1,8,4,"Adverb",8,0.005514142,0.018092951,0.29075,5.27314174140591,68
"1-9","QID8",1,9,6,"Verb",9,0.005514142,0.986296592,0.12875,5.33822860249036,77
"1-11","QID10",1,11,5,"Adjective",11,0.005514142,0.134906151,0.103421053,5.4350072354838,70
"1-12","QID11",1,12,5,"Noun",12,0.048416672,0.941998841,0.1855,5.42924918128453,70
"1-13","QID12",1,13,5,"Noun",13,0.005514142,0.699473367,0.10625,5.38227773163554,75
"1-16","QID15",1,16,7,"Noun",16,0.193416758,0.894493933,0.274615385,5.25611284794579,76
"1-17","QID16",1,17,2,"Verb",17,0.120236188,0.964973399,0.5995,4.86615779385008,38
"1-18","QID17",1,18,11,"Verb",18,0.005514142,0.256842685,0.20775,5.0964998674243,83
"1-20","QID19",1,20,9,"Adjective",20,0.005514142,0.159161123,0.154,5.28686618322094,82
"1-21","QID20",1,21,7,"Noun",21,0.168951935,0.986296592,0.281538462,5.31230392694101,75
"1-23","QID22",1,23,5,"Noun",2,0.005514142,0.846157828,0.117435897,5.38246090779975,74
"1-24","QID23",1,24,7,"Verb",3,0.02554349,0.502697117,0.3605,5.25423166545481,76
"1-25","QID24",1,25,4,"Verb",4,0.267057509,0.964973399,0.6315,5.27860416771044,52
"1-27","QID26",1,27,10,"Noun",6,0.005514142,0.72401138,0.118648649,5.33438036637041,80
"1-29","QID28",1,29,7,"Noun",8,0.096048271,0.404238249,0.231578947,5.32548420611105,73
"1-32","QID31",1,32,3,"Verb",11,0.686208264,0.986296592,0.9045,5.20209855223944,56
"1-33","QID32",1,33,3,"Verb",12,0.193416758,0.797445569,0.43375,5.11460307758251,45
"1-36","QID35",1,36,7,"Verb",15,0.02554349,0.941998841,0.124358974,5.11841177916425,73
"1-38","QID37",1,38,5,"Noun",17,0.048416672,0.894493933,0.148648649,5.31301958482072,70
"1-41","QID40",1,41,5,"Noun",20,0.316280085,0.941998841,0.634782609,5.20834926736613,46
"1-43","QID42",1,43,3,"Verb",2,0.661573841,0.964973399,0.86675,5.35674231877483,55
"1-44","QID43",1,44,6,"Verb",3,0.005514142,0.256842685,0.227,5.26381622063499,70
"1-47","QID46",1,47,5,"Noun",6,0.488907857,0.986296592,0.68375,5.35289882708082,56
"1-48","QID47",1,48,4,"Noun",7,0.02554349,0.06312702,0.47075,5.30918123361582,64
"1-50","QID49",1,50,4,"Verb",9,0.005514142,0.986296592,0.1685,5.41223847385086,62
"1-52","QID51",1,52,6,"Noun",11,0.005514142,0.964973399,0.09,5.38159713546944,72
"1-54","QID53",1,54,5,"Noun",13,0.144550466,0.846157828,0.2295,5.34526664354804,65
"1-57","QID56",1,57,4,"Noun",16,0.930350315,0.986296592,0.96475,5.38134763842266,51
"2-2","QID58",2,2,4,"Noun",2,0.023933028,0.666313313,0.309285714,5.23724960941826,67
"2-3","QID59",2,3,5,"Adverb",3,0.09105163,0.596018749,0.507857143,5.10972804730014,59
"2-5","QID61",2,5,7,"Adjective",5,0.004972087,0.105381991,0.033571429,5.26491158950918,70
"2-6","QID62",2,6,10,"Noun",6,0.005075139,0.682442073,0.028809524,5.43808671575948,83
"2-7","QID63",2,7,7,"Noun",7,0.004972087,0.221193459,0.154047619,5.38310294401455,76
"2-9","QID65",2,9,3,"Verb",9,0.069788653,0.896448725,0.54225,5.28324994253407,36
"2-10","QID66",2,10,9,"Verb",10,0.024445909,0.730174813,0.186097561,5.36933434918868,79
